from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;5859425;211;14779;147;118;19754;157;126;19172;42;21175;37;21175
5785641;5859425;198;13842;144;124;19960;157;129;19377;42;21386;37;21386
5785642;5859425;199;13922;144;126;20077;157;131;19495;46;18053;42;18053
5785643;5859425;203;14214;154;127;20370;160;135;19788;50;20610;46;20610
5787544;5859425;204;14290;131;114;19264;134;111;19264;41;20749;36;20749
5787545;5859425;205;14359;131;115;19333;140;112;19333;44;21035;39;21035
5787546;5859425;208;14584;147;115;19559;145;115;19559;43;17080;40;17080
5787547;5859425;196;13728;151;131;20458;159;136;19876;42;17471;38;17471
5787548;5859425;193;13503;145;127;20186;156;132;19604;41;17592;37;17592
5787549;5859425;195;13637;151;131;20478;159;136;19896;43;17835;39;17835
5787550;5859425;232;16230;206;185;19753;200;193;19171;47;20409;43;20409
5789447;5859425;172;12015;96;75;16497;104;72;16497;36;18559;32;18559
5789448;5859425;176;12296;96;75;16518;104;72;16518;37;18924;33;18924
5789449;5859425;181;12644;96;76;16578;104;73;16578;38;19350;34;19350
5789450;5859425;208;14526;141;114;19501;142;114;19501;41;19669;37;19669
5789451;5859425;208;14564;147;115;19539;145;115;19539;43;20996;39;20996
5789452;5859425;188;13164;147;125;17053;146;113;21138;42;16979;38;16979
5789453;5859425;189;13201;146;126;17089;146;114;21175;41;17156;37;17156
5789454;5859425;190;13288;145;127;17176;146;115;21262;41;17420;37;17420
5789455;5859425;192;13464;150;130;17352;152;118;21438;42;17640;39;17640
5789456;5859425;230;16069;200;182;19593;200;190;19010;45;20319;41;20319
5791353;5859425;179;12561;104;80;16857;104;77;16857;34;18150;30;18150
5791354;5859425;176;12329;96;76;16625;104;73;16625;35;18741;31;18741
5791355;5859425;177;12358;92;72;16286;104;69;16286;36;18921;32;18921
5791356;5859425;182;12706;96;76;16634;104;73;16634;39;19547;35;19547
5791357;5859425;186;13002;104;79;16702;104;76;16702;42;19661;38;19661
5791358;5859425;186;13053;147;124;16942;141;112;21027;42;16473;38;16473
5791359;5859425;184;12856;146;121;16744;141;109;20830;40;16797;36;16797
5791360;5859425;184;12910;146;122;16798;141;110;20884;42;17165;38;17165
5791361;5859425;189;13263;147;127;17152;147;115;21237;44;17519;40;17519
5791362;5859425;194;13574;154;131;17463;160;136;16880;45;17827;41;17827
5791363;5859425;229;16064;200;182;19588;200;190;19005;47;20215;43;20215
5793258;5859425;185;12947;108;85;17243;110;82;17243;36;19414;32;19414
5793259;5859425;181;12647;104;81;16943;110;78;16943;38;19254;34;19254
5793260;5859425;181;12681;104;81;16977;110;78;16977;38;19218;34;19218
5793261;5859425;181;12641;96;75;16422;104;72;16422;36;18999;32;18999
5793262;5859425;180;12621;96;75;16420;104;72;16420;39;19424;34;19424
5793263;5859425;181;12669;104;80;16003;112;77;16003;44;20529;39;20529
5793264;5859425;180;12600;140;117;16488;133;105;20574;41;16418;38;16418
5793265;5859425;181;12640;145;118;16529;136;106;20614;41;16750;37;16750
5793266;5859425;181;12650;145;118;16538;136;106;20624;43;16947;40;16947
5793267;5859425;192;13424;149;129;17312;152;117;21398;47;17742;43;17742
5793268;5859425;197;13822;157;135;17710;160;140;17128;47;17968;43;17968
